epoch,train_loss,val_accuracy
1,0.04636747125500834,0.9912023460410557
2,0.029278346248121007,0.9917888563049854
3,0.024329792571537247,0.9947865754317368
4,0.020953178707436085,0.9900293255131964
5,0.017985665298543375,0.9943955685891169
6,0.0164331038500127,0.9938742261322906
7,0.015116442199068394,0.9933528836754644
8,0.014146004235465888,0.9939393939393939
9,0.012709390594600162,0.9938090583251874
10,0.011762523943623652,0.987683284457478
